Наименование|Цена
"Встраиваемый холодильник без морозильника DEXP BIS2-0140AHE [138 л, дисплей, 59.5 см x 81.8 см x 54.5 см]"|24 999 ₽
"Встраиваемый холодильник DEXP BIB220AMA [269 л, нижняя морозильная камера, разморозка - ручное, 54 см x 178.5 см x 54.5 см]"|29 999 ₽
"Встраиваемый холодильник без морозильника KRONA GORNER KRMFR101 [133 л, 59.5 см x 81.2 см x 54.8 см]"|33 299 ₽
"Встраиваемый холодильник без морозильника Bosch Serie 6 KUR15A50RU [138 л, 59.8 см x 81.8 см x 54.8 см]"|39 299 ₽
"Встраиваемый холодильник DEXP BIB4-0250AHE [240 л, нижняя морозильная камера, разморозка - No Frost, дисплей, 54 см x 177.2 см x 54 см]"|39 499 ₽
"Встраиваемый холодильник DEXP Fresh BIB420AMA [241 л, нижняя морозильная камера, разморозка - No Frost, дисплей, 54 см x 178.5 см x 54.5 см]"|39 999 ₽
"Встраиваемый холодильник без морозильника Schaub Lorenz SLS E136W0M [133 л, 59.5 см x 81.9 см x 54.8 см]"|41 499 ₽
"Встраиваемый холодильник MAUNFELD MBF88SW [111 л, верхняя морозильная камера, разморозка - ручное, 59.6 см x 82 см x 55 см]"|42 499 ₽
"Встраиваемый холодильник без морозильника Beko BU1100HCA [128 л, 59.8 см x 82 см x 54.5 см]"|42 999 ₽
"Встраиваемый холодильник без морозильника MAUNFELD MBL88SW [135 л, 59.6 см x 82 см x 55 см]"|43 999 ₽
"Встраиваемый холодильник Haier HUR100RU [100 л, верхняя морозильная камера, разморозка - ручное, 59.5 см x 82 см x 54.5 см]"|47 999 ₽
"Встраиваемый холодильник без морозильника Haier HUL110RU [110 л, 59.5 см x 82 см x 54.5 см]"|47 999 ₽
"Встраиваемый холодильник Korting KSI 8185 [115 л, верхняя морозильная камера, разморозка - ручное, 59.5 см x 81.2 см x 54.8 см]"|48 299 ₽
"Встраиваемый холодильник Hansa BK318.3FVC [241 л, нижняя морозильная камера, разморозка - No Frost, дисплей, 54 см x 176.9 см x 55 см]"|48 999 ₽
"Встраиваемый холодильник без морозильника Schaub Lorenz SLS E310WE [300 л, 54 см x 177 см x 54.5 см]"|51 299 ₽
"Встраиваемый холодильник MAUNFELD MBF177SW [270 л, нижняя морозильная камера, разморозка - ручное, 54 см x 176.9 см x 55 см]"|53 999 ₽
"Встраиваемый холодильник Gorenje NRKI4182P1 [240 л, нижняя морозильная камера, разморозка - No Frost, 54 см x 177.2 см x 54 см]"|54 999 ₽
"Встраиваемый холодильник Hansa BK2815.0N [281 л, нижняя морозильная камера, разморозка - No Frost, 54 см x 194 см x 54 см]"|57 499 ₽
